Month,VENDOR CODE,Vendor Name,Sales,Txn Count,ABS Shipping Variance,Avg Order Handling time,Pre-fulfillment Cancellation,Pricing Mismatch,Non-AMZ.com Sales,YTD Sales,YTD Purchase Cost,YTD Sales Return,YTD CM,Shipping Type,Total Active SKU,SKU with VV in BuyBox,YTD Sales Target,YTD CM Target,Credit Terms,Accepts Sales Returns,Exclusive Sales,Gross Margin %,BuyBox Win Rate %,Avg Order Handing Time,Pre-fulfillment Cancellations %,Credit Terms Final,Pricing Mismatch %,Returns Terms Final,Shipping provided by Vendor (SPV) Final,Abs Shipping Variance / Sales %,Exclusive SKU Sales / Total Sales %,Contribution Margin Bridge Gap %,Sales Return Rate %,% of Non Amazon.com Sales,Gross Margin Score,BuyBox Win Rate Score,Operational Performance - Handling Time,Operational Performance - Pre-fulfillment cancellations,Operational Performance - Credit Terms,Operational Performance - Pricing Update Errors,Operational Performance - Accepts Returns,Operational Performance - Vendor-account shipping,Operational Performance - Shipping cost variance,Operational Performance - Exclusivity,Operational Performance Total,Contribution Margin Bridge Gap,Sales Return Rate Score,Non-Amazon.com Sales Score,TOTAL SCORE
Aug-24,ZLIN,Zline Kitchen,203294,214,281,2.01,6,151,4100,869137,668275,44958,110010,SPV,0,0,1050000,84000,FALSE,TRUE,0,23.11,0,2.01,2.8,No Credit,70.56,Yes,TRUE,0.14,0,130.96,5.17,2.02,0,8,1,3,0,0,3,3,3,0,13,26,6,0,53
Aug-24,SCSP,School Specialty,186146,1650,6861,2.93,37,7,15239,378341,256154,8794,30850,VV,831,367,1050000,84000,FALSE,TRUE,0,32.3,44.16,2.93,2.24,No Credit,0.42,Yes,FALSE,3.69,0,36.73,2.32,8.19,0,15,0,3,0,3,3,0,0,0,9,0,10,2,36
Aug-24,VIDA,vidaXL,165993,1051,1544,1.92,68,99,55237,1263797,940269,123732,129956,SPV,1614,501,1400000,112000,FALSE,TRUE,0,25.6,31.04,1.92,6.47,No Credit,9.42,Yes,TRUE,0.93,0,116.03,9.79,33.28,2,15,2,2,0,2,3,3,2,0,14,26,0,10,67
Aug-24,EMPS,Extreme Max Products,132610,831,2883,2.01,50,25,8878,2103490,1582417,113200,99924,VV,363,80,1400000,112000,FALSE,TRUE,0,24.77,22.04,2.01,6.02,No Credit,3.01,Yes,FALSE,2.17,0,89.22,5.38,6.69,0,13,1,2,0,3,3,0,1,0,10,20,6,1,50
Aug-24,VICK,Vickerman Company,103364,790,4471,1.31,8,0,9382,225644,139605,28214,12309,VV,1218,618,1400000,112000,FALSE,TRUE,0,38.13,50.74,1.31,1.01,No Credit,0,Yes,FALSE,4.33,0,10.99,12.5,9.08,2,15,3,3,0,3,3,0,0,0,12,0,0,2,31
Aug-24,MODA,Modway,96922,330,1520,1.5,30,76,38719,483059,366681,30299,37625,SPV,580,64,1400000,112000,FALSE,TRUE,0,24.09,11.03,1.5,9.09,No Credit,23.03,Yes,TRUE,1.57,0,33.59,6.27,39.95,1,5,2,1,0,0,3,3,2,0,12,0,5,10,32
Aug-24,ATHL,ATHLETIC CONNECTION,76097,918,437,2.64,20,223,6437,345068,224139,11449,18562,VV,360,109,1050000,84000,FALSE,TRUE,0,35.04,30.28,2.64,2.18,No Credit,24.29,Yes,FALSE,0.57,0,22.1,3.32,8.46,0,15,1,3,0,0,3,0,3,0,9,0,8,2,35
Aug-24,XSPO,Xstatic Pro,70167,233,1798,0.38,6,227,3490,469104,308015,26045,41468,VV,177,93,700000,56000,FALSE,TRUE,0,34.34,52.54,0.38,2.58,No Credit,97.42,Yes,FALSE,2.56,0,74.05,5.55,4.97,0,15,3,3,0,0,3,0,1,0,9,13,6,0,44
Aug-24,EMRY,Emery Jensen,57282,594,3392,1.35,49,168,14716,319282,182515,23875,19873,VV,603,147,700000,56000,FALSE,TRUE,0,42.84,24.38,1.35,8.25,No Credit,28.28,Yes,FALSE,5.92,0,35.49,7.48,25.69,6,15,2,2,0,0,3,0,0,0,7,0,3,10,41
Aug-24,AROW,Arrow Companies LLC,46216,139,958,1.42,2,14,4669,328847,167843,8064,78432,VV,5,4,700000,56000,FALSE,TRUE,0,48.96,80,1.42,1.44,No Credit,10.07,Yes,FALSE,2.07,0,140.06,2.45,10.1,10,15,2,3,0,2,3,0,1,0,11,26,9,3,74
